,slug,link
0,Los Angeles Lakers,/teams/LAL/2020.html
1,Denver Nuggets,/teams/DEN/2020.html
2,Houston Rockets,/teams/HOU/2020.html
3,Los Angeles Clippers,/teams/LAC/2020.html
4,Utah Jazz,/teams/UTA/2020.html
5,Dallas Mavericks,/teams/DAL/2020.html
6,Phoenix Suns,/teams/PHO/2020.html
7,Minnesota Timberwolves,/teams/MIN/2020.html
8,Sacramento Kings,/teams/SAC/2020.html
9,New Orleans Pelicans,/teams/NOP/2020.html
10,San Antonio Spurs,/teams/SAS/2020.html
11,Oklahoma City Thunder,/teams/OKC/2020.html
12,Memphis Grizzlies,/teams/MEM/2020.html
13,Portland Trail Blazers,/teams/POR/2020.html
14,Golden State Warriors,/teams/GSW/2020.html
15,Milwaukee Bucks,/teams/MIL/2020.html
16,Boston Celtics,/teams/BOS/2020.html
17,Toronto Raptors,/teams/TOR/2020.html
18,Miami Heat,/teams/MIA/2020.html
19,Philadelphia 76ers,/teams/PHI/2020.html
20,Indiana Pacers,/teams/IND/2020.html
21,Brooklyn Nets,/teams/BRK/2020.html
22,Orlando Magic,/teams/ORL/2020.html
23,Washington Wizards,/teams/WAS/2020.html
24,Charlotte Hornets,/teams/CHO/2020.html
25,Chicago Bulls,/teams/CHI/2020.html
26,Cleveland Cavaliers,/teams/CLE/2020.html
27,Detroit Pistons,/teams/DET/2020.html
28,Atlanta Hawks,/teams/ATL/2020.html
29,New York Knicks,/teams/NYK/2020.html
